DATASET,NLME_RESULT_ID,NLME_CURVE_ID,COSMIC_ID,CELL_LINE_NAME,SANGER_MODEL_ID,TCGA_DESC,DRUG_ID,DRUG_NAME,PUTATIVE_TARGET,PATHWAY_NAME,COMPANY_ID,WEBRELEASE,MIN_CONC,MAX_CONC,LN_IC50,AUC,RMSE,Z_SCORE,IC50_uM,sensitivity,outliers
GDSC2,343,16095363,910919,BC-1,SIDM00896,DLBC,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,3.429125,0.801246,0.125632,-1.145343,30.84963750378914,Low,False
GDSC2,343,16095645,910920,A704,SIDM00849,KIRC,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,3.860854,0.800246,0.116229,-0.780131,47.50590409247086,Low,False
GDSC2,343,16095926,910921,A101D,SIDM00801,SKCM,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,4.675916,0.856326,0.177341,-0.090647,107.33083712430441,Low,False
GDSC2,343,16096207,910922,769-P,SIDM00803,KIRC,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,7.668256,0.977273,0.042957,2.440659,2139.347168443116,Low,False
GDSC2,343,16096489,910924,23132-87,SIDM00980,STAD,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,3.199098,0.744967,0.106158,-1.33993,24.51041183175397,Low,False
GDSC2,343,16096771,910925,A431,SIDM00995,UNCLASSIFIED,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,3.605726,0.777061,0.157515,-0.995951,36.808397055442164,Low,False
GDSC2,343,16096950,910926,BFTC-905,SIDM00989,BLCA,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,3.660012,0.800229,0.107601,-0.950029,38.86180921024495,Low,False
GDSC2,343,16097232,910927,CAL-51,SIDM00933,BRCA,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,4.338241,0.842942,0.154474,-0.376296,76.57272937672015,Low,False
GDSC2,343,16097517,910930,SCC-3,SIDM00384,DLBC,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,3.757377,0.843839,0.154275,-0.867666,42.83591987368224,Low,False
GDSC2,343,16097799,910931,RERF-LC-MS,SIDM00355,LUAD,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,4.553578,0.874811,0.108687,-0.194136,94.97160954099483,Low,False
GDSC2,343,16097978,910932,GAK,SIDM00543,SKCM,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,4.607441,0.875199,0.157629,-0.148572,100.2273394262767,Low,False
GDSC2,343,16098260,910933,AM-38,SIDM00492,GBM,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,5.359229,0.912733,0.153201,0.487387,212.5609987258031,Low,False
GDSC2,343,16098540,910934,A4-Fuk,SIDM00502,DLBC,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,2.808233,0.718176,0.163663,-1.670573,16.580594408510265,Low,False
GDSC2,343,16098822,910935,A3-KAW,SIDM00495,DLBC,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,2.716373,0.717248,0.131821,-1.74828,15.125362945111421,Low,False
GDSC2,343,16099100,910936,DOK,SIDM00540,HNSC,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,3.773386,0.783625,0.155155,-0.854123,43.527198692430936,Low,False
GDSC2,343,16099533,910941,CHP-134,SIDM00285,NB,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,4.128794,0.85152,0.174339,-0.553473,62.10298155843453,Low,False
GDSC2,343,16099789,910942,NEC8,SIDM00243,UNCLASSIFIED,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,3.928711,0.865333,0.169373,-0.722729,50.84140084832665,Low,False
GDSC2,343,16100070,910943,CAS-1,SIDM00212,GBM,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,5.773923,0.895756,0.046867,0.838189,321.79767192756583,Low,False
GDSC2,343,16100350,910944,ALL-PO,SIDM00211,ALL,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,3.680058,0.832483,0.159151,-0.933071,39.648693630115325,Low,False
GDSC2,343,16100630,910947,OCI-AML2,SIDM00446,LAML,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,3.658686,0.836815,0.109677,-0.951151,38.81031260102951,Low,False
GDSC2,343,16100911,910948,MFM-223,SIDM00332,BRCA,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,5.249539,0.860449,0.161357,0.394597,190.47843765542626,Low,False
GDSC2,343,16101197,910951,CML-T1,SIDM00958,LCML,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,2.698963,0.713332,0.132459,-1.763008,14.864309440910429,Low,False
GDSC2,343,16101479,910952,CAL-54,SIDM00932,KIRC,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,3.930688,0.784033,0.089915,-0.721057,50.9420137208576,Low,False
GDSC2,343,16101761,911905,EFO-21,SIDM01052,OV,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,7.630772,0.916879,0.062088,2.408951,2060.640220191018,Low,False
GDSC2,343,16102043,917486,LS-1034,SIDM00681,COREAD,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,4.960735,0.897986,0.133748,0.150289,142.69864086277826,Low,False
GDSC2,343,16102326,924100,22RV1,SIDM00499,PRAD,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,4.836095,0.843781,0.121358,0.044853,125.97645192483184,Low,False
GDSC2,343,16102608,924102,8505C,SIDM00996,THCA,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,5.493695,0.894592,0.093702,0.601136,243.15400304792365,Low,False
GDSC2,343,16102889,924104,B-CPAP,SIDM00992,THCA,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,4.746281,0.861933,0.183838,-0.031123,115.15522490392594,Low,False
GDSC2,343,16103169,924105,BPH-1,SIDM00964,UNCLASSIFIED,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,2.264577,0.625826,0.103399,-2.130467,9.627051496926283,Low,False
GDSC2,343,16103623,924107,CAL-39,SIDM00935,CESC,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,3.514891,0.775728,0.114815,-1.072791,33.61226398746722,Low,False
GDSC2,343,16103905,924108,CaR-1,SIDM00488,COREAD,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,5.341488,0.90988,0.142492,0.47238,208.8232081551282,Low,False
GDSC2,343,16104188,924110,HDLM-2,SIDM01064,UNCLASSIFIED,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,5.999412,0.953238,0.064388,1.028936,403.1916470900366,Low,False
GDSC2,343,16104469,924111,HO-1-N-1,SIDM00592,HNSC,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,4.48826,0.875571,0.164445,-0.24939,88.96650939665963,Low,False
GDSC2,343,16104750,924151,HTC-C3,SIDM00496,THCA,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,4.528897,0.845503,0.126811,-0.215014,92.65630479394822,Low,False
GDSC2,343,16105201,924187,KLE,SIDM00686,UCEC,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,6.497049,0.905053,0.090126,1.449902,663.1816933985233,Low,False
