DATASET,NLME_RESULT_ID,NLME_CURVE_ID,COSMIC_ID,CELL_LINE_NAME,SANGER_MODEL_ID,TCGA_DESC,DRUG_ID,DRUG_NAME,PUTATIVE_TARGET,PATHWAY_NAME,COMPANY_ID,WEBRELEASE,MIN_CONC,MAX_CONC,LN_IC50,AUC,RMSE,Z_SCORE,IC50_uM,sensitivity,outlier
GDSC2,343,15978596,753569,KNS-62,SIDM00606,LUSC,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,2.289633,0.966123,0.040206,0.162446,9.871314243985584,Low,False
GDSC2,343,15978805,753570,KOSC-2,SIDM00603,HNSC,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,2.205703,0.977405,0.066021,0.118312,9.076630196533898,Low,False
GDSC2,343,15979058,753572,KP-4,SIDM00301,PAAD,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,10.0,2.976972,0.949461,0.095513,0.523886,19.628292101601037,Low,False
GDSC2,343,15979337,753573,KYSE-140,SIDM01032,ESCA,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,2.424467,0.972861,0.066322,0.233349,11.296206936133439,Low,False
GDSC2,343,15979618,753574,KYSE-410,SIDM01028,ESCA,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,3.347238,0.955286,0.099793,0.718591,28.42411771202267,Low,False
GDSC2,343,15979899,753575,KYSE-520,SIDM01025,ESCA,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,3.103309,0.947687,0.064804,0.590321,22.27152596441119,Low,False
GDSC2,343,15980182,753576,KYSE-70,SIDM01024,ESCA,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,3.012313,0.966186,0.074285,0.54247,20.33437899161356,Low,False
GDSC2,343,15980391,753577,LB1047-RCC,SIDM00187,KIRC,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,3.189427,0.970463,0.087087,0.635606,24.27451416070574,Low,False
GDSC2,343,15980570,753578,LB2241-RCC,SIDM00186,KIRC,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,1.814551,0.942573,0.024099,-0.087377,6.138319453172179,Low,False
GDSC2,343,15980750,753579,LB2518-MEL,SIDM00185,SKCM,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,3.365048,0.986718,0.042248,0.727957,28.93488614025243,Low,False
GDSC2,343,15980929,753581,LB373-MEL-D,SIDM00184,SKCM,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,3.239738,0.987961,0.046106,0.662062,25.527032788545583,Low,False
GDSC2,343,15981109,753582,LB647-SCLC,SIDM00183,SCLC,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,1.907588,0.971851,0.046834,-0.038453,6.736819976435996,Low,False
GDSC2,343,15981360,753583,LB771-HNC,SIDM00182,HNSC,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,1.387126,0.922909,0.116825,-0.31214,4.0033279391504255,Low,False
GDSC2,343,15981643,753584,LB831-BLC,SIDM00181,BLCA,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,2.263512,0.965176,0.038574,0.148711,9.616804144765648,Low,False
GDSC2,343,15981923,753585,LB996-RCC,SIDM00180,KIRC,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,1.926546,0.940511,0.053673,-0.028484,6.865754922260311,Low,False
GDSC2,343,15982206,753586,LCLC-103H,SIDM00345,UNCLASSIFIED,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,3.775222,0.981832,0.037256,0.943648,43.60718803697888,Low,False
GDSC2,343,15982415,753588,LU-134-A,SIDM00296,SCLC,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,1.830011,0.965979,0.140969,-0.079247,6.233955231655113,Low,False
GDSC2,343,15982668,753589,LU-165,SIDM00292,SCLC,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,3.837719,0.964855,0.039974,0.976512,46.41947077573197,Low,False
GDSC2,343,15982948,753592,LXF-289,SIDM00339,LUAD,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,2.353149,0.975406,0.087178,0.195847,10.518640826912831,Low,False
GDSC2,343,15983230,753594,MS-1,SIDM00245,SCLC,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,1.360364,0.966862,0.040249,-0.326213,3.897611774303402,Low,False
GDSC2,343,15983620,753596,MZ7-mel,SIDM00516,SKCM,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,3.1382,0.984794,0.030171,0.608668,23.062317304193936,Low,False
GDSC2,343,15983871,753600,NCI-H1563,SIDM00751,LUAD,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,1.7703,0.952313,0.095334,-0.110647,5.872614881605838,Low,False
GDSC2,343,15984081,753604,NCI-H292,SIDM00493,UNCLASSIFIED,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,3.093562,0.978316,0.09608,0.585195,22.05549991406812,Low,False
GDSC2,343,15984261,753605,NCI-H510A,SIDM00927,SCLC,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,-0.898909,0.82153,0.1437,-1.514258,0.4070134692934657,Medium,False
GDSC2,343,15984401,753607,NCI-H835,SIDM01133,UNCLASSIFIED,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,2.432123,0.981936,0.026527,0.237376,11.383022602755164,Low,False
GDSC2,343,15984690,753608,PC-14,SIDM00237,LUAD,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,2.091626,0.957044,0.086638,0.058324,8.098071929913925,Low,False
GDSC2,343,15984975,753610,SBC-3,SIDM00367,SCLC,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,2.484128,0.973816,0.080752,0.264722,11.990659839372952,Low,False
